ID,Title,Difficulty,Solved?,推荐指数,击败,Tags
192,192. Word Frequency,Medium,Yes,⭐⭐,100,Shell
194,194. Transpose File,Medium,Yes,⭐⭐,81.02,Shell
174,174. Dungeon Game,Hard,Yes,⭐⭐⭐⭐,32.32,"Binary Search, DP"
177,177. Nth Highest Salary,Medium,Yes,⭐⭐,35.09,SQL
178,178. Rank Scores,Medium,Yes,⭐⭐,42.06,SQL
179,179. Largest Number,Medium,Yes,⭐⭐⭐⭐,49.09,Sort
180,180. Consecutive Numbers,Medium,Yes,⭐⭐,90.77,SQL
184,184. Department Highest Salary,Medium,Yes,⭐⭐,53.11,SQL
185,185. Department Top Three Salaries,Hard,Yes,⭐⭐,38.7,SQL
186,186. Reverse Words in a String II,Medium,Yes,,,
187,187. Repeated DNA Sequences,Medium,Yes,⭐⭐⭐,42.37,"Bit Manipulation, Hash Table"
188,188. Best Time to Buy and Sell Stock IV,Hard,Yes,⭐⭐⭐⭐⭐,100,DP
161,161. One Edit Distance,Medium,Yes,,,
163,163. Missing Ranges,Medium,Yes,,,
162,162. Find Peak Element,Medium,Yes,⭐⭐⭐⭐,99.7,"Array, Binary Search"
153,153. Find Minimum in Rotated Sorted Array,Medium,Yes,⭐⭐⭐,96.63,"Array, Binary Search"
154,154. Find Minimum in Rotated Sorted Array II,Hard,Yes,⭐⭐⭐⭐,68.38,"Array, Binary Search"
156,156. Binary Tree Upside Down,Medium,Yes,,,
158,158. Read N Characters Given Read4 II - Call multiple times,Hard,Yes,,,
159,159. Longest Substring with At Most Two Distinct Characters,Medium,Yes,,,
151,151. Reverse Words in a String,Medium,Yes,⭐,63.05,String
132,132. Palindrome Partitioning II,Hard,Yes,⭐⭐⭐⭐,84.82,DP
164,164. Maximum Gap,Hard,Yes,⭐⭐⭐⭐,23.33,Sort
165,165. Compare Version Numbers,Medium,Yes,⭐⭐,38.82,String
166,166. Fraction to Recurring Decimal,Medium,Yes,⭐⭐⭐,80.41,"Hash Table, Math"
152,152. Maximum Product Subarray,Medium,Yes,⭐⭐⭐,83.51,"Array, DP"
139,139. Word Break,Medium,Yes,⭐⭐⭐,92.09,DP
140,140. Word Break II,Hard,Yes,⭐⭐⭐,75.75,"Backtracking, DP"
130,130. Surrounded Regions,Medium,Yes,⭐⭐⭐,78.74,"BFS, DFS, Union Find"
131,131. Palindrome Partitioning,Medium,Yes,⭐⭐⭐,98.36,"Backtracking, DP"
137,137. Single Number II,Medium,Yes,⭐⭐⭐⭐⭐,95.33,Bit Manipulation
133,133. Clone Graph,Medium,Yes,⭐⭐⭐,50.53,"BFS, DFS, Graph"
134,134. Gas Station,Medium,Yes,⭐⭐⭐⭐,81.07,"DP, Greedy"
135,135. Candy,Hard,Yes,⭐⭐⭐⭐,88.67,Greedy
127,127. Word Ladder,Medium,Yes,⭐⭐⭐,86.26,BFS
126,126. Word Ladder II,Hard,Yes,⭐⭐⭐⭐,93.29,"Array, BFS, Backtracking, String"
128,128. Longest Consecutive Sequence,Hard,Yes,⭐⭐⭐⭐,94.88,"Array, Union Find"
129,129. Sum Root to Leaf Numbers,Medium,Yes,⭐⭐⭐,96.75,"DFS, Tree"
124,124. Binary Tree Maximum Path Sum,Hard,Yes,⭐⭐⭐⭐,93.98,"DFS, Tree"
121,121. Best Time to Buy and Sell Stock,Easy,Yes,⭐⭐⭐,92.49,"Array, DP"
122,122. Best Time to Buy and Sell Stock II,Easy,Yes,⭐⭐⭐⭐,99.87,"Array, Greedy"
123,123. Best Time to Buy and Sell Stock III,Hard,Yes,⭐⭐⭐⭐⭐,30.66,"Array, DP"
202,202. Happy Number,Easy,Yes,⭐⭐⭐,56.14,"Hash Table, Math"
204,204. Count Primes,Easy,Yes,⭐⭐⭐,45.21,"Hash Table, Math"
205,205. Isomorphic Strings,Easy,Yes,⭐⭐⭐,84.64,Hash Table
219,219. Contains Duplicate II,Easy,Yes,⭐⭐⭐,98.93,"Array, BFS, Hash Table"
226,226. Invert Binary Tree,Easy,Yes,⭐⭐⭐,99.06,Tree
228,228. Summary Ranges,Easy,Yes,⭐⭐⭐,89.68,Array
231,231. Power of Two,Easy,Yes,⭐⭐⭐,100,"Bit Manipulation, Math"
235,235. Lowest Common Ancestor of a Binary Search Tree,Easy,Yes,⭐⭐⭐,80.75,Tree
242,242. Valid Anagram,Easy,Yes,⭐⭐,74.98,"Hash Table, Sort"
244,244. Shortest Word Distance II,Medium,Yes,,,
243,243. Shortest Word Distance,Easy,Yes,,,
245,245. Shortest Word Distance III,Medium,Yes,,,
247,247. Strobogrammatic Number II,Medium,Yes,,,
246,246. Strobogrammatic Number,Easy,Yes,,,
248,248. Strobogrammatic Number III,Hard,Yes,,,
249,249. Group Shifted Strings,Medium,Yes,,,
250,250. Count Univalue Subtrees,Medium,Yes,,,
251,251. Flatten 2D Vector,Medium,Yes,,,
252,252. Meeting Rooms,Easy,Yes,,,
253,253. Meeting Rooms II,Medium,Yes,,,
254,254. Factor Combinations,Medium,Yes,,,
259,259. 3Sum Smaller,Medium,Yes,,,
256,256. Paint House,Medium,Yes,,,
261,261. Graph Valid Tree,Medium,Yes,,,
265,265. Paint House II,Hard,Yes,,,
266,266. Palindrome Permutation,Easy,Yes,,,
267,267. Palindrome Permutation II,Medium,Yes,,,
269,269. Alien Dictionary,Hard,Yes,,,
271,271. Encode and Decode Strings,Medium,Yes,,,
270,270. Closest Binary Search Tree Value,Easy,Yes,,,
277,277. Find the Celebrity,Medium,Yes,,,
280,280. Wiggle Sort,Medium,Yes,,,
276,276. Paint Fence,Easy,Yes,,,
281,281. Zigzag Iterator,Medium,Yes,,,
286,286. Walls and Gates,Medium,Yes,,,
285,285. Inorder Successor in BST,Medium,Yes,,,
291,291. Word Pattern II,Hard,Yes,,,
288,288. Unique Word Abbreviation,Medium,Yes,,,
293,293. Flip Game,Easy,Yes,,,
294,294. Flip Game II,Medium,Yes,,,
296,296. Best Meeting Point,Hard,Yes,,,
298,298. Binary Tree Longest Consecutive Sequence,Medium,Yes,,,
257,257. Binary Tree Paths,Easy,Yes,⭐⭐⭐,88.54,"DFS, Tree"
258,258. Add Digits,Easy,Yes,⭐⭐⭐⭐,95.87,Math
263,263. Ugly Number,Easy,Yes,⭐⭐,83.73,Math
268,268. Missing Number,Easy,Yes,⭐⭐⭐,94.8,"Array, Bit Manipulation, Math"
278,278. First Bad Version,Easy,Yes,⭐⭐⭐,97.77,Binary Search
283,283. Move Zeroes,Easy,Yes,⭐⭐⭐,99.87,"Array, Two Pointers"
290,290. Word Pattern,Easy,Yes,⭐⭐⭐,71.36,Hash Table
292,292. Nim Game,Easy,Yes,⭐⭐⭐,32.05,"Brainteaser, Minimax"
201,201. Bitwise AND of Numbers Range,Medium,Yes,⭐⭐⭐⭐,92.66,Bit Manipulation
207,207. Course Schedule,Medium,Yes,⭐⭐⭐⭐,90,"BFS, DFS, Graph, Topological Sort"
208,208. Implement Trie (Prefix Tree),Medium,Yes,⭐⭐⭐,29.54,"Design, Trie"
209,209. Minimum Size Subarray Sum,Medium,Yes,⭐⭐⭐,52.08,"Array, Binary Search, Two Pointers"
210,210. Course Schedule II,Medium,Yes,⭐⭐⭐,67.16,"BFS, DFS, Graph, Topological Sort"
240,240. Search a 2D Matrix II,Medium,Yes,⭐⭐⭐⭐,67.58,"Binary Search, Divide and Conquer"
